country,iso3,spei,spei_date,year,month,spei_lag1,spei_lag2,spei_lag3
United States of America,USA,0.6899689,2019-01-16,2019,1,1.0138329,0.6734157,0.6805201
Uruguay,URY,2.219555,2019-01-16,2019,1,0.9895354,0.5259692,0.4997519
Uzbekistan,UZB,0.46338657,2019-01-16,2019,1,0.24078271,-0.052557852,-0.60108644
Vanuatu,VUT,-0.021929296,2019-01-16,2019,1,0.028981788,0.09975775,0.113137454
Venezuela,VEN,-0.62917995,2019-01-16,2019,1,-0.5545344,-0.00021951084,-0.1337661
Vietnam,VNM,0.24423957,2019-01-16,2019,1,-0.3141006,-0.84994525,-0.553659
Western Sahara,ESH,-0.37241307,2019-01-16,2019,1,-0.12670045,-0.060317624,-0.05902511
Yemen,YEM,-1.061428,2019-01-16,2019,1,-0.60081697,-0.26308453,-0.028304068
Zambia,ZMB,0.20863771,2019-01-16,2019,1,0.18865097,-0.16409835,-0.62785065
Zimbabwe,ZWE,0.1553532,2019-01-16,2019,1,-0.29896402,-0.7276137,-1.3246394
eSwatini,SWZ,-1.9552495,2019-01-16,2019,1,-1.5905484,-1.20563,-0.53925127
Afghanistan,AFG,0.16538179,2019-02-15,2019,2,-0.10182334,-0.09216996,0.17337486
Aland,ALA,0.28004837,2019-02-15,2019,2,-0.5845547,-0.5919029,-0.573946
Albania,ALB,-0.47016254,2019-02-15,2019,2,-0.22967805,-1.4893907,-1.8071146
Algeria,DZA,-1.2537508,2019-02-15,2019,2,-1.0814188,-0.5427769,0.31311363
Angola,AGO,0.07559092,2019-02-15,2019,2,0.09074912,0.08361511,0.13265133
Antarctica,ATA,,2019-02-15,2019,2,,,
Argentina,ARG,-0.14190923,2019-02-15,2019,2,0.5836947,0.65683836,0.89015007
Armenia,ARM,1.6398523,2019-02-15,2019,2,1.0363027,1.1712614,-0.4086053
Australia,AUS,-1.048422,2019-02-15,2019,2,-0.6767873,-0.3733929,-0.34082553
Austria,AUT,0.5178075,2019-02-15,2019,2,0.3997119,-0.6072786,-1.1070646
Azerbaijan,AZE,0.74617064,2019-02-15,2019,2,0.42078257,0.0657651,-1.1670783
Bangladesh,BGD,1.1792088,2019-02-15,2019,2,-0.7984906,-0.98979837,-1.9425184
Belarus,BLR,0.2755166,2019-02-15,2019,2,0.0877604,-0.5993056,-1.2869322
Belgium,BEL,0.011934126,2019-02-15,2019,2,-0.28694797,-0.8990316,-1.9903138
Belize,BLZ,-0.7078858,2019-02-15,2019,2,-0.52690655,0.15197073,0.37018886
Benin,BEN,-0.6726852,2019-02-15,2019,2,-1.2309334,0.28036058,0.47881243
Bhutan,BTN,0.9822577,2019-02-15,2019,2,-0.5044776,-1.0864267,-2.1034398
Bolivia,BOL,-0.45051655,2019-02-15,2019,2,0.1145545,0.8139932,0.4425104
