origin,destination,dist_od
AGO,LVA,8.919098771915996
AGO,MAC,
AGO,MAR,8.573604904322197
AGO,MDA,8.779779738869342
AGO,MDG,8.235409423051424
AGO,MDV,8.819919529271857
AGO,MEX,9.471248962079036
AGO,MHL,9.763496483913555
AGO,MKD,8.663425978730402
AGO,MLI,8.143858818012458
AGO,MLT,8.533004333913324
AGO,MMR,9.165506172649371
AGO,MNG,9.301601456154987
AGO,MNP,9.60077441077744
AGO,MOZ,7.877931741974016
AGO,MRT,8.39256626467262
AGO,MSR,
AGO,MTQ,9.069607108020916
AGO,MUS,8.48067255776529
AGO,MWI,7.738954680306288
AGO,MYS,9.218338303087245
AGO,NAM,7.189202454798834
AGO,NCL,9.641759735493
AGO,NER,7.948571067923851
AGO,NFK,9.608837258320602
AGO,NGA,7.680587564821965
AGO,NIC,9.334391720645316
AGO,NIU,9.728529816142458
AGO,NLD,8.844223853460145
AGO,NOR,8.964863912403157
AGO,NPL,9.070200218088067
AGO,NRU,9.730934924004272
AGO,NZL,9.559599788730756
AGO,OMN,8.697244339448346
AGO,PAK,8.916351117670935
AGO,PAL,8.540918311746628
AGO,PAN,9.26938539394022
AGO,PCN,
AGO,PER,9.193699985521985
AGO,PHL,9.408089804702215
AGO,PLW,9.510716779333354
AGO,PNG,9.581284426211973
AGO,POL,8.834858247976372
AGO,PRI,9.140348930655716
AGO,PRK,9.44536901494959
AGO,PRT,8.690423380009623
AGO,PRY,8.939200716143713
AGO,PYF,9.710012627529666
AGO,QAT,8.63906970401873
AGO,REU,8.438567429400893
AGO,ROM,8.741792802161227
AGO,RUS,8.986944538841591
AGO,RWA,7.591452953255352
AGO,SAU,8.497199033779292
AGO,SDN,8.123227214151092
AGO,SEN,8.37483876144725
AGO,SGP,9.214695872995685
AGO,SHN,7.8355729200386435
AGO,SLB,9.66128859468676
AGO,SLE,8.17678297110543
AGO,SLV,9.363658705499343
AGO,SMR,8.695687433375806
AGO,SOM,8.231040349095803
AGO,SPM,9.141515879169889
AGO,STP,7.210448370228815
AGO,SUR,8.963440741262456
AGO,SVK,8.78215208691552
AGO,SVN,8.736075034538661
AGO,SWE,8.940102723607204
AGO,SWZ,7.8646622882182236
AGO,SYC,8.440566758292604
AGO,SYR,8.6224978055116
AGO,TCA,9.200852403217185
AGO,TCD,7.756506083334866
AGO,TGO,7.755236836781652
AGO,THA,9.203647524757537
AGO,TJK,8.970911049471406
AGO,TKL,9.788448124743296
AGO,TKM,8.87692705209514
AGO,TMP,9.409248606124528
AGO,TON,9.710247404275957
AGO,TTO,9.062372588590247
AGO,TUN,8.535962932527914
AGO,TUR,8.666427520055509
AGO,TUV,9.765448874487719
AGO,TWN,9.40888544626913
AGO,TZA,7.841434746667089
AGO,UGA,7.7696388206920295
AGO,UKR,8.82285254977118
AGO,URY,8.93217777849832
AGO,USA,9.390337562856772
AGO,UZB,8.976935225120977
AGO,VCT,9.067721873526823
AGO,VEN,9.136222569004907
AGO,VGB,9.122211425283556
AGO,VNM,9.26827903689663
AGO,VUT,9.674172496603084
AGO,WLF,9.754503088140687
AGO,WSM,9.759845216160876
AGO,YEM,8.373198563854304
AGO,YUG,8.703921855962177
AGO,ZAF,7.8393451794544395
AGO,ZAR,6.672527759729154
AGO,ZMB,7.409523407198872
AGO,ZWE,7.612286415728539
AIA,ABW,6.884375693993614
AIA,AFG,9.409470699862931
AIA,AGO,9.104361887637259
AIA,AIA,2.1705774531540913
AIA,ALB,9.00144766825056
AIA,AND,8.793803952450842
AIA,ANT,5.143527315700015
AIA,ARE,9.375981073668662
AIA,ARG,8.649843821283092
AIA,ARM,9.223437232457314
AIA,ATG,5.175286648359372
AIA,AUS,9.716220788335034
AIA,AUT,8.94354191097408
AIA,AZE,9.254169679992804
AIA,BDI,9.251192446044044
AIA,BEL,8.83593313611721
AIA,BEN,8.875186745606229
AIA,BFA,8.786506791679598
AIA,BGD,9.586112302148127
AIA,BGR,9.046980147512548
AIA,BHR,9.334979848429052
AIA,BHS,7.427454019951581
AIA,BIH,8.976073181752033
AIA,BLR,9.043262241569375
AIA,BLZ,7.896259131769907
AIA,BMU,7.366512781944314
AIA,BOL,8.288125124768081
AIA,BRA,8.385341758297768
AIA,BRB,6.518252197200688
AIA,BRN,9.767720519872551
AIA,BTN,9.560559823991685
AIA,BWA,9.280936757147616
AIA,CAF,9.099223542711094
AIA,CAN,8.215751825882755
AIA,CCK,
AIA,CHE,8.867747381701522
AIA,CHL,8.654556433120867
AIA,CHN,9.545030306955299
AIA,CIV,8.774745435121867
AIA,CMR,9.009287759148433
AIA,COG,9.083813873408454
AIA,COK,9.340143322591103
AIA,COL,7.525050043653828
AIA,COM,9.407519342090827
AIA,CPV,8.331849632971556
AIA,CRI,7.803316225882236
AIA,CUB,7.4556691515068545
AIA,CXR,
AIA,CYM,7.566292381058484
AIA,CYP,9.151109447262598
AIA,CZE,8.944809147982088
AIA,DEU,8.890541086004605
AIA,DJI,9.330946086789483
AIA,DMA,5.895073408277904
AIA,DNK,8.906732961816731
AIA,DOM,6.607858914850778
AIA,DZA,8.81479153473521
AIA,ECU,7.946118146270657
AIA,EGY,9.148359537168519
AIA,ERI,9.28347093805274
AIA,ESH,8.548286931542522
AIA,ESP,8.73149279001521
AIA,EST,9.012977012355437
AIA,ETH,9.299498027394904
AIA,FIN,9.00403623845672
AIA,FJI,9.516089743383079
AIA,FLK,8.96219703902502
AIA,FRA,8.815495271427777
AIA,FRO,8.7804659661402
AIA,FSM,9.623845075754053
AIA,GAB,9.01555745392936
AIA,GBR,8.782819514196898
AIA,GEO,9.209394224519809
AIA,GHA,8.836416226544545
AIA,GIB,8.69311162523632
AIA,GIN,8.611779109005992
AIA,GLP,5.534759301094173
AIA,GMB,8.520700832444398
AIA,GNB,8.546558771108012
AIA,GNQ,8.996229651532808
AIA,GRC,9.045671250117824
AIA,GRD,6.538385090358851
AIA,GRL,8.596390434092639
AIA,GTM,7.996113844111505
AIA,GUF,7.52012127092527
AIA,GUY,7.248349721910115
AIA,HKG,9.649262177271385
AIA,HND,7.875496632867203
AIA,HRV,8.957247663491856
AIA,HTI,6.895620550067753
AIA,HUN,8.9830068047928
AIA,IDN,9.810039687546581
AIA,IND,9.530125579922265
AIA,IRL,8.727186333885067
AIA,IRN,9.301402450452544
AIA,IRQ,9.25574767787005
AIA,ISL,8.698419815656932
AIA,ISR,9.177069690225734
AIA,ITA,8.915392232143734
AIA,JAM,7.295191505776219
AIA,JOR,9.186567830990091
AIA,JPN,9.521486009365672
AIA,KAZ,9.336043075223703
AIA,KEN,9.31775068536248
AIA,KGZ,9.39323593066619
AIA,KHM,9.706233458283736
AIA,KIR,9.50122929697543
AIA,KNA,4.693214029800371
AIA,KOR,9.533865584999443
AIA,KWT,9.300851783359798
AIA,LAO,9.664688973231828
AIA,LBN,9.175941765754873
AIA,LBR,8.676668072496195
AIA,LBY,8.978098935124034
AIA,LCA,6.255658482859484
AIA,LKA,9.621329527733145
AIA,LSO,9.31175912910128
AIA,LTU,9.008361387744038
AIA,LUX,8.85198473074239
AIA,LVA,9.007924142845047
AIA,MAC,
AIA,MAR,8.667822994510795
AIA,MDA,9.069000400167248
AIA,MDG,9.454369885136366
AIA,MDV,9.593249666245915
AIA,MEX,8.289364933981723
AIA,MHL,9.513017208922859
AIA,MKD,9.016854404432229
AIA,MLI,8.697887758713621
AIA,MLT,8.954471129115861
AIA,MMR,9.641646051404072
AIA,MNG,9.4407685260276
AIA,MNP,9.626688049535378
AIA,MOZ,9.353589271322736
AIA,MRT,8.532076483698791
AIA,MSR,
AIA,MTQ,6.119367536194507
