country,ISO_A3,date,spei
Trinidad and Tobago,TTO,2019-02-15,-2.2321162
Tunisia,TUN,2019-02-15,-0.6264791
Turkey,TUR,2019-02-15,1.3766396
Turkmenistan,TKM,2019-02-15,0.5402765
Uganda,UGA,2019-02-15,0.8021758
Ukraine,UKR,2019-02-15,0.668312
United Arab Emirates,ARE,2019-02-15,-0.017916514
United Kingdom,GBR,2019-02-15,-0.94612706
United Republic of Tanzania,TZA,2019-02-15,-0.021003693
United States Virgin Islands,VIR,2019-02-15,-0.6187411
United States of America,USA,2019-02-15,1.0032333
Uruguay,URY,2019-02-15,1.6878042
Uzbekistan,UZB,2019-02-15,0.09837133
Vanuatu,VUT,2019-02-15,0.09805446
Venezuela,VEN,2019-02-15,-0.6378819
Vietnam,VNM,2019-02-15,0.6123382
Western Sahara,ESH,2019-02-15,-0.88618124
Yemen,YEM,2019-02-15,-1.0053806
Zambia,ZMB,2019-02-15,0.16444872
Zimbabwe,ZWE,2019-02-15,0.13480398
eSwatini,SWZ,2019-02-15,-0.9924674
Afghanistan,AFG,2019-03-16,0.7164733
Aland,ALA,2019-03-16,1.1596091
Albania,ALB,2019-03-16,-0.6255829
Algeria,DZA,2019-03-16,-0.5180652
Angola,AGO,2019-03-16,0.076445304
Antarctica,ATA,2019-03-16,
Argentina,ARG,2019-03-16,0.1667355
Armenia,ARM,2019-03-16,0.771645
Australia,AUS,2019-03-16,-0.8929997
Austria,AUT,2019-03-16,-0.28448966
Azerbaijan,AZE,2019-03-16,0.34052488
Bangladesh,BGD,2019-03-16,1.0899463
Belarus,BLR,2019-03-16,-0.6118637
Belgium,BEL,2019-03-16,-0.04304186
Belize,BLZ,2019-03-16,-0.864034
Benin,BEN,2019-03-16,-0.5639366
Bhutan,BTN,2019-03-16,0.365998
Bolivia,BOL,2019-03-16,-0.8231644
Bosnia and Herzegovina,BIH,2019-03-16,-1.3798658
Botswana,BWA,2019-03-16,-0.47903395
Brazil,BRA,2019-03-16,-0.34667435
Brunei,BRN,2019-03-16,-1.4311981
Bulgaria,BGR,2019-03-16,-1.1767316
Burkina Faso,BFA,2019-03-16,-0.20680636
Burundi,BDI,2019-03-16,-1.7624912
Cabo Verde,CPV,2019-03-16,0.26026055
Cambodia,KHM,2019-03-16,-0.15672389
Cameroon,CMR,2019-03-16,0.1528231
Canada,CAN,2019-03-16,-0.074866906
Cayman Islands,CYM,2019-03-16,
Central African Republic,CAF,2019-03-16,-0.4714316
Chad,TCD,2019-03-16,-1.1500866
Chile,CHL,2019-03-16,-0.17724389
China,CHN,2019-03-16,-0.6264081
Colombia,COL,2019-03-16,-0.3220051
Comoros,COM,2019-03-16,-1.9016781
Costa Rica,CRI,2019-03-16,-0.17386988
Croatia,HRV,2019-03-16,-1.3726158
Cuba,CUB,2019-03-16,0.08285605
Cyprus,CYP,2019-03-16,1.2688282
Czechia,CZE,2019-03-16,-0.9569414
Democratic Republic of the Congo,COD,2019-03-16,-0.17670408
Denmark,DNK,2019-03-16,0.9920071
Djibouti,DJI,2019-03-16,-0.7716484
Dominican Republic,DOM,2019-03-16,-0.70591426
East Timor,TLS,2019-03-16,-2.1198945
Ecuador,ECU,2019-03-16,0.73207134
Egypt,EGY,2019-03-16,-0.07987475
El Salvador,SLV,2019-03-16,-0.97784334
Equatorial Guinea,GNQ,2019-03-16,0.37692326
Eritrea,ERI,2019-03-16,-0.8974956
Estonia,EST,2019-03-16,1.4263796
Ethiopia,ETH,2019-03-16,-0.62635434
Falkland Islands,FLK,2019-03-16,0.61734265
Faroe Islands,FRO,2019-03-16,0.048404835
Fiji,FJI,2019-03-16,-0.5398555
Finland,FIN,2019-03-16,1.5658314
France,-99,2019-03-16,-1.4240361
French Polynesia,PYF,2019-03-16,0.7244219
French Southern and Antarctic Lands,ATF,2019-03-16,1.8758461
Gabon,GAB,2019-03-16,0.17446771
Gambia,GMB,2019-03-16,-0.33259964
Georgia,GEO,2019-03-16,0.09197848
Germany,DEU,2019-03-16,-0.23375395
Ghana,GHA,2019-03-16,-0.20543222
Greece,GRC,2019-03-16,-0.023193186
Greenland,GRL,2019-03-16,0.34193188
Guatemala,GTM,2019-03-16,-1.1343383
Guinea,GIN,2019-03-16,0.53872275
Guinea-Bissau,GNB,2019-03-16,-0.433097
Guyana,GUY,2019-03-16,-1.3501827
Haiti,HTI,2019-03-16,-1.3521142
Honduras,HND,2019-03-16,-0.39124647
Hungary,HUN,2019-03-16,-1.5986915
Iceland,ISL,2019-03-16,0.9568302
India,IND,2019-03-16,-0.039683968
Indonesia,IDN,2019-03-16,-0.4389686
Iran,IRN,2019-03-16,0.7797846
Iraq,IRQ,2019-03-16,0.22494309
Ireland,IRL,2019-03-16,0.04194855
Israel,ISR,2019-03-16,0.72451866
Italy,ITA,2019-03-16,-1.1487827
Ivory Coast,CIV,2019-03-16,-0.14479698
Jamaica,JAM,2019-03-16,-0.06444986
Japan,JPN,2019-03-16,-1.4229342
Jordan,JOR,2019-03-16,1.0299802
Kazakhstan,KAZ,2019-03-16,-0.7536264
Kenya,KEN,2019-03-16,0.9780663
Kiribati,KIR,2019-03-16,
Kosovo,-99,2019-03-16,-1.2681562
Kuwait,KWT,2019-03-16,-0.7300821
Kyrgyzstan,KGZ,2019-03-16,-0.5034579
Laos,LAO,2019-03-16,-0.3104166
Latvia,LVA,2019-03-16,1.0848883
Lebanon,LBN,2019-03-16,1.2495143
Lesotho,LSO,2019-03-16,-0.5929006
Liberia,LBR,2019-03-16,-0.1633273
Libya,LBY,2019-03-16,0.28246558
Lithuania,LTU,2019-03-16,0.29911274
Luxembourg,LUX,2019-03-16,0.018899245
Madagascar,MDG,2019-03-16,0.27526978
Malawi,MWI,2019-03-16,1.3802443
Malaysia,MYS,2019-03-16,-1.2588993
Mali,MLI,2019-03-16,-0.034489404
Mauritania,MRT,2019-03-16,-0.21682292
Mauritius,MUS,2019-03-16,-0.5717622
Mexico,MEX,2019-03-16,-0.23289314
Moldova,MDA,2019-03-16,-1.0045575
Mongolia,MNG,2019-03-16,-1.357212
Montenegro,MNE,2019-03-16,-1.0234196
Morocco,MAR,2019-03-16,-1.4043089
Mozambique,MOZ,2019-03-16,0.4609419
Myanmar,MMR,2019-03-16,0.20066267
Namibia,NAM,2019-03-16,-0.124262266
Nepal,NPL,2019-03-16,0.77887774
Netherlands,NLD,2019-03-16,0.3848436
New Caledonia,NCL,2019-03-16,-0.35668468
New Zealand,NZL,2019-03-16,-0.2718719
Nicaragua,NIC,2019-03-16,-0.9117751
Niger,NER,2019-03-16,-0.27368075
Nigeria,NGA,2019-03-16,-0.37537774
North Korea,PRK,2019-03-16,-1.870666
North Macedonia,MKD,2019-03-16,-1.1573206
Northern Cyprus,-99,2019-03-16,1.4280524
Norway,-99,2019-03-16,0.9556221
Oman,OMN,2019-03-16,-1.192142
Pakistan,PAK,2019-03-16,1.1450487
Palestine,PSE,2019-03-16,0.7713537
Panama,PAN,2019-03-16,-0.6725188
Papua New Guinea,PNG,2019-03-16,0.24022289
Paraguay,PRY,2019-03-16,0.5913198
Peru,PER,2019-03-16,0.18557903
Philippines,PHL,2019-03-16,-0.8374859
Poland,POL,2019-03-16,-0.5131874
Portugal,PRT,2019-03-16,-1.6203494
Puerto Rico,PRI,2019-03-16,-0.6742499
Qatar,QAT,2019-03-16,1.2948674
Republic of Serbia,SRB,2019-03-16,-1.4625406
Republic of the Congo,COG,2019-03-16,-0.39973325
Romania,ROU,2019-03-16,-1.0944289
Russia,RUS,2019-03-16,0.21387047
Rwanda,RWA,2019-03-16,-1.9202694
Saint Vincent and the Grenadines,VCT,2019-03-16,-1.8145012
Samoa,WSM,2019-03-16,0.6315718
Saudi Arabia,SAU,2019-03-16,0.4133262
Senegal,SEN,2019-03-16,-0.15659201
Siachen Glacier,-99,2019-03-16,1.3029143
Sierra Leone,SLE,2019-03-16,-0.06540632
Slovakia,SVK,2019-03-16,-1.2579615
Slovenia,SVN,2019-03-16,-1.0160362
Solomon Islands,SLB,2019-03-16,0.03714139
Somalia,SOM,2019-03-16,-0.6616624
Somaliland,-99,2019-03-16,-0.56484663
South Africa,ZAF,2019-03-16,-1.0118772
South Georgia and the Islands,SGS,2019-03-16,-0.3491294
South Korea,KOR,2019-03-16,-1.3795905
South Sudan,SSD,2019-03-16,-0.74655014
Spain,ESP,2019-03-16,-1.881451
Sri Lanka,LKA,2019-03-16,-0.65940374
Sudan,SDN,2019-03-16,-0.876637
Suriname,SUR,2019-03-16,-1.6227682
Sweden,SWE,2019-03-16,1.1972731
Switzerland,CHE,2019-03-16,-0.54945123
Syria,SYR,2019-03-16,1.0282696
Taiwan,TWN,2019-03-16,0.11541506
Tajikistan,TJK,2019-03-16,-0.31931865
Thailand,THA,2019-03-16,-0.35465062
The Bahamas,BHS,2019-03-16,0.33836165
Togo,TGO,2019-03-16,-0.47104067
Trinidad and Tobago,TTO,2019-03-16,-1.3468213
Tunisia,TUN,2019-03-16,0.402025
Turkey,TUR,2019-03-16,0.20799471
Turkmenistan,TKM,2019-03-16,0.5823409
Uganda,UGA,2019-03-16,0.6231801
Ukraine,UKR,2019-03-16,-0.83192086
United Arab Emirates,ARE,2019-03-16,0.4909988
United Kingdom,GBR,2019-03-16,-0.63381034
United Republic of Tanzania,TZA,2019-03-16,-0.14335771
United States Virgin Islands,VIR,2019-03-16,-0.88199407
United States of America,USA,2019-03-16,0.82962084
Uruguay,URY,2019-03-16,0.97007674
Uzbekistan,UZB,2019-03-16,-0.18761468
Vanuatu,VUT,2019-03-16,0.08408911
Venezuela,VEN,2019-03-16,-0.61151236
Vietnam,VNM,2019-03-16,0.23435311
Western Sahara,ESH,2019-03-16,-0.685942
Yemen,YEM,2019-03-16,-0.5689314
Zambia,ZMB,2019-03-16,0.064616434
Zimbabwe,ZWE,2019-03-16,0.19868824
eSwatini,SWZ,2019-03-16,-0.10614137
Afghanistan,AFG,2019-04-16,1.1403052
Aland,ALA,2019-04-16,-0.62008643
Albania,ALB,2019-04-16,-1.2396582
Algeria,DZA,2019-04-16,-0.49394283
Angola,AGO,2019-04-16,0.093374446
Antarctica,ATA,2019-04-16,
Argentina,ARG,2019-04-16,-0.19251855
Armenia,ARM,2019-04-16,0.8288189
Australia,AUS,2019-04-16,-0.7102595
Austria,AUT,2019-04-16,-1.3368754
Azerbaijan,AZE,2019-04-16,0.49205315
