iso_o,iso_d,distw
AIA,GIN,5501.251
AIA,GLP,271.6314
AIA,GMB,5018.677
AIA,GNB,5149.249
AIA,GNQ,8074.081
AIA,GRC,8482.409
AIA,GRD,691.3004
AIA,GRL,5441.19
AIA,GTM,2970.414
AIA,GUF,1847.333
AIA,GUY,1407.919
AIA,HKG,15510.35
AIA,HND,2633.416
AIA,HRV,7765.035
AIA,HTI,988.9021
AIA,HUN,7967.514
AIA,IDN,18229.05
AIA,IND,13783.06
AIA,IRL,6169.342
AIA,IRN,10964.16
AIA,IRQ,10467.63
AIA,ISL,5994.495
AIA,ISR,9672.808
AIA,ITA,7451.881
AIA,JAM,1474.257
AIA,JOR,9765.093
AIA,JPN,13655.95
AIA,KAZ,11368.49
AIA,KEN,11137.53
AIA,KGZ,12007.24
AIA,KHM,16420.21
AIA,KIR,13404.54
AIA,KNA,540.1471
AIA,KOR,13820.62
AIA,KWT,10947.35
AIA,LAO,15755.51
AIA,LBN,9661.877
AIA,LBR,5866.198
AIA,LBY,7941.704
AIA,LCA,521.1418
AIA,LKA,15083.44
AIA,LSO,11067.5
AIA,LTU,8172.201
AIA,LUX,6988.255
AIA,LVA,8168.532
AIA,MAC,
AIA,MAR,5817.067
AIA,MDA,8682.222
AIA,MDG,12764.75
AIA,MDV,14666.29
AIA,MEX,4039.306
AIA,MHL,13535.72
AIA,MKD,8240.978
AIA,MLI,5997.797
AIA,MLT,7742.436
AIA,MMR,15396.66
AIA,MNG,12593.51
AIA,MNP,15164.17
AIA,MOZ,11543.02
AIA,MRT,5085.2
AIA,MSR,
AIA,MTQ,454.8157
AIA,MUS,13820.5
AIA,MWI,11286.18
AIA,MYS,17170.33
AIA,NAM,9804.254
AIA,NCL,14879.73
AIA,NER,7256.129
AIA,NFK,14724.08
AIA,NGA,7501.903
AIA,NIC,2566.351
AIA,NIU,12376.87
AIA,NLD,6945.927
AIA,NOR,7315.975
AIA,NPL,13868.5
AIA,NRU,14230.95
AIA,NZL,14053.01
AIA,OMN,12102.47
