country,date,spei
Dominican Republic,2019-03-16,-0.70591426
East Timor,2019-03-16,-2.1198945
Ecuador,2019-03-16,0.73207134
Egypt,2019-03-16,-0.07987475
El Salvador,2019-03-16,-0.97784334
Equatorial Guinea,2019-03-16,0.37692326
Eritrea,2019-03-16,-0.8974956
Estonia,2019-03-16,1.4263796
Ethiopia,2019-03-16,-0.62635434
Falkland Islands,2019-03-16,0.61734265
Faroe Islands,2019-03-16,0.048404835
Fiji,2019-03-16,-0.5398555
Finland,2019-03-16,1.5658314
France,2019-03-16,-1.4240361
French Polynesia,2019-03-16,0.7244219
French Southern and Antarctic Lands,2019-03-16,1.8758461
Gabon,2019-03-16,0.17446771
Gambia,2019-03-16,-0.33259964
Georgia,2019-03-16,0.09197848
Germany,2019-03-16,-0.23375395
Ghana,2019-03-16,-0.20543222
Greece,2019-03-16,-0.023193186
Greenland,2019-03-16,0.34193188
Guatemala,2019-03-16,-1.1343383
Guinea,2019-03-16,0.53872275
Guinea-Bissau,2019-03-16,-0.433097
Guyana,2019-03-16,-1.3501827
Haiti,2019-03-16,-1.3521142
Honduras,2019-03-16,-0.39124647
Hungary,2019-03-16,-1.5986915
Iceland,2019-03-16,0.9568302
India,2019-03-16,-0.039683968
Indonesia,2019-03-16,-0.4389686
Iran,2019-03-16,0.7797846
Iraq,2019-03-16,0.22494309
Ireland,2019-03-16,0.04194855
Israel,2019-03-16,0.72451866
Italy,2019-03-16,-1.1487827
Ivory Coast,2019-03-16,-0.14479698
Jamaica,2019-03-16,-0.06444986
Japan,2019-03-16,-1.4229342
Jordan,2019-03-16,1.0299802
Kazakhstan,2019-03-16,-0.7536264
Kenya,2019-03-16,0.9780663
Kiribati,2019-03-16,
Kosovo,2019-03-16,-1.2681562
Kuwait,2019-03-16,-0.7300821
Kyrgyzstan,2019-03-16,-0.5034579
Laos,2019-03-16,-0.3104166
Latvia,2019-03-16,1.0848883
Lebanon,2019-03-16,1.2495143
Lesotho,2019-03-16,-0.5929006
Liberia,2019-03-16,-0.1633273
Libya,2019-03-16,0.28246558
Lithuania,2019-03-16,0.29911274
Luxembourg,2019-03-16,0.018899245
Madagascar,2019-03-16,0.27526978
Malawi,2019-03-16,1.3802443
Malaysia,2019-03-16,-1.2588993
Mali,2019-03-16,-0.034489404
Mauritania,2019-03-16,-0.21682292
Mauritius,2019-03-16,-0.5717622
Mexico,2019-03-16,-0.23289314
Moldova,2019-03-16,-1.0045575
Mongolia,2019-03-16,-1.357212
Montenegro,2019-03-16,-1.0234196
Morocco,2019-03-16,-1.4043089
Mozambique,2019-03-16,0.4609419
Myanmar,2019-03-16,0.20066267
Namibia,2019-03-16,-0.124262266
Nepal,2019-03-16,0.77887774
Netherlands,2019-03-16,0.3848436
New Caledonia,2019-03-16,-0.35668468
New Zealand,2019-03-16,-0.2718719
Nicaragua,2019-03-16,-0.9117751
Niger,2019-03-16,-0.27368075
Nigeria,2019-03-16,-0.37537774
North Korea,2019-03-16,-1.870666
North Macedonia,2019-03-16,-1.1573206
Northern Cyprus,2019-03-16,1.4280524
Norway,2019-03-16,0.9556221
Oman,2019-03-16,-1.192142
Pakistan,2019-03-16,1.1450487
Palestine,2019-03-16,0.7713537
Panama,2019-03-16,-0.6725188
Papua New Guinea,2019-03-16,0.24022289
Paraguay,2019-03-16,0.5913198
Peru,2019-03-16,0.18557903
Philippines,2019-03-16,-0.8374859
Poland,2019-03-16,-0.5131874
Portugal,2019-03-16,-1.6203494
Puerto Rico,2019-03-16,-0.6742499
Qatar,2019-03-16,1.2948674
Republic of Serbia,2019-03-16,-1.4625406
Republic of the Congo,2019-03-16,-0.39973325
Romania,2019-03-16,-1.0944289
Russia,2019-03-16,0.21387047
Rwanda,2019-03-16,-1.9202694
Saint Vincent and the Grenadines,2019-03-16,-1.8145012
Samoa,2019-03-16,0.6315718
Saudi Arabia,2019-03-16,0.4133262
Senegal,2019-03-16,-0.15659201
Siachen Glacier,2019-03-16,1.3029143
Sierra Leone,2019-03-16,-0.06540632
Slovakia,2019-03-16,-1.2579615
Slovenia,2019-03-16,-1.0160362
Solomon Islands,2019-03-16,0.03714139
Somalia,2019-03-16,-0.6616624
Somaliland,2019-03-16,-0.56484663
South Africa,2019-03-16,-1.0118772
South Georgia and the Islands,2019-03-16,-0.3491294
South Korea,2019-03-16,-1.3795905
South Sudan,2019-03-16,-0.74655014
Spain,2019-03-16,-1.881451
Sri Lanka,2019-03-16,-0.65940374
Sudan,2019-03-16,-0.876637
Suriname,2019-03-16,-1.6227682
Sweden,2019-03-16,1.1972731
Switzerland,2019-03-16,-0.54945123
Syria,2019-03-16,1.0282696
Taiwan,2019-03-16,0.11541506
Tajikistan,2019-03-16,-0.31931865
Thailand,2019-03-16,-0.35465062
The Bahamas,2019-03-16,0.33836165
Togo,2019-03-16,-0.47104067
Trinidad and Tobago,2019-03-16,-1.3468213
Tunisia,2019-03-16,0.402025
Turkey,2019-03-16,0.20799471
Turkmenistan,2019-03-16,0.5823409
Uganda,2019-03-16,0.6231801
Ukraine,2019-03-16,-0.83192086
United Arab Emirates,2019-03-16,0.4909988
United Kingdom,2019-03-16,-0.63381034
United Republic of Tanzania,2019-03-16,-0.14335771
United States Virgin Islands,2019-03-16,-0.88199407
United States of America,2019-03-16,0.82962084
Uruguay,2019-03-16,0.97007674
Uzbekistan,2019-03-16,-0.18761468
Vanuatu,2019-03-16,0.08408911
Venezuela,2019-03-16,-0.61151236
Vietnam,2019-03-16,0.23435311
Western Sahara,2019-03-16,-0.685942
Yemen,2019-03-16,-0.5689314
Zambia,2019-03-16,0.064616434
Zimbabwe,2019-03-16,0.19868824
eSwatini,2019-03-16,-0.10614137
Afghanistan,2019-04-16,1.1403052
Aland,2019-04-16,-0.62008643
Albania,2019-04-16,-1.2396582
Algeria,2019-04-16,-0.49394283
Angola,2019-04-16,0.093374446
Antarctica,2019-04-16,
Argentina,2019-04-16,-0.19251855
Armenia,2019-04-16,0.8288189
Australia,2019-04-16,-0.7102595
Austria,2019-04-16,-1.3368754
Azerbaijan,2019-04-16,0.49205315
Bangladesh,2019-04-16,1.0980076
Belarus,2019-04-16,-2.2732158
Belgium,2019-04-16,-0.5803948
Belize,2019-04-16,0.2445876
Benin,2019-04-16,-0.11917389
Bhutan,2019-04-16,0.42338437
Bolivia,2019-04-16,-0.595699
Bosnia and Herzegovina,2019-04-16,-1.2567276
Botswana,2019-04-16,-0.28774974
Brazil,2019-04-16,-0.018939193
Brunei,2019-04-16,-1.3997929
Bulgaria,2019-04-16,-1.1252776
Burkina Faso,2019-04-16,0.08057756
Burundi,2019-04-16,-2.8133492
Cabo Verde,2019-04-16,0.30310446
Cambodia,2019-04-16,-0.19808765
Cameroon,2019-04-16,-0.17546996
Canada,2019-04-16,-0.20842145
Cayman Islands,2019-04-16,
Central African Republic,2019-04-16,-0.3556529
Chad,2019-04-16,-0.88440424
Chile,2019-04-16,-0.1007794
China,2019-04-16,-0.753716
Colombia,2019-04-16,-0.3917174
Comoros,2019-04-16,0.009760522
Costa Rica,2019-04-16,0.3622593
Croatia,2019-04-16,-1.1425192
Cuba,2019-04-16,0.0536824
Cyprus,2019-04-16,0.82427853
Czechia,2019-04-16,-1.8572505
Democratic Republic of the Congo,2019-04-16,-0.14715447
Denmark,2019-04-16,-0.33583838
Djibouti,2019-04-16,-0.1807503
Dominican Republic,2019-04-16,-0.36661
East Timor,2019-04-16,-1.9887096
Ecuador,2019-04-16,0.21522468
Egypt,2019-04-16,0.12763377
El Salvador,2019-04-16,-0.6888695
Equatorial Guinea,2019-04-16,0.42445076
Eritrea,2019-04-16,-0.7627932
Estonia,2019-04-16,-1.0085584
Ethiopia,2019-04-16,0.036303457
Falkland Islands,2019-04-16,0.43515304
Faroe Islands,2019-04-16,-0.102332
Fiji,2019-04-16,-0.03152899
Finland,2019-04-16,0.3824153
France,2019-04-16,-1.2849857
French Polynesia,2019-04-16,0.053491082
French Southern and Antarctic Lands,2019-04-16,1.5130484
Gabon,2019-04-16,0.21857564
Gambia,2019-04-16,-0.0046028197
Georgia,2019-04-16,0.2265504
Germany,2019-04-16,-1.3457615
Ghana,2019-04-16,-0.01939842
Greece,2019-04-16,-0.67198735
Greenland,2019-04-16,0.119246714
Guatemala,2019-04-16,-1.0084139
Guinea,2019-04-16,0.40669027
Guinea-Bissau,2019-04-16,-0.18253794
Guyana,2019-04-16,-1.5128418
Haiti,2019-04-16,-1.1967894
Honduras,2019-04-16,-0.49519002
Hungary,2019-04-16,-1.8404639
Iceland,2019-04-16,0.5201673
India,2019-04-16,-0.24271579
Indonesia,2019-04-16,-0.3864542
Iran,2019-04-16,1.277201
Iraq,2019-04-16,0.8592354
Ireland,2019-04-16,1.0144067
Israel,2019-04-16,1.0140634
Italy,2019-04-16,-1.2212169
Ivory Coast,2019-04-16,-0.025284842
Jamaica,2019-04-16,0.4131349
Japan,2019-04-16,-1.2110718
Jordan,2019-04-16,1.0642065
Kazakhstan,2019-04-16,-0.42945752
Kenya,2019-04-16,0.55996144
Kiribati,2019-04-16,
Kosovo,2019-04-16,-1.639514
Kuwait,2019-04-16,0.10588521
Kyrgyzstan,2019-04-16,0.6826799
Laos,2019-04-16,-1.0256128
Latvia,2019-04-16,-1.6959068
Lebanon,2019-04-16,1.1517702
Lesotho,2019-04-16,0.83126956
Liberia,2019-04-16,-0.04113333
Libya,2019-04-16,0.38496068
Lithuania,2019-04-16,-2.0452268
Luxembourg,2019-04-16,-0.5583329
Madagascar,2019-04-16,0.33826625
Malawi,2019-04-16,1.324824
Malaysia,2019-04-16,-1.3769717
Mali,2019-04-16,0.17655404
Mauritania,2019-04-16,-0.113098584
Mauritius,2019-04-16,-1.784072
Mexico,2019-04-16,-0.5538309
Moldova,2019-04-16,-1.599718
Mongolia,2019-04-16,-1.6666334
Montenegro,2019-04-16,-1.4832503
Morocco,2019-04-16,-1.1882982
Mozambique,2019-04-16,0.61086756
Myanmar,2019-04-16,-0.8862015
Namibia,2019-04-16,-0.12586293
Nepal,2019-04-16,0.92106897
Netherlands,2019-04-16,-0.50858897
New Caledonia,2019-04-16,0.3877841
New Zealand,2019-04-16,0.72270685
Nicaragua,2019-04-16,-0.84660345
Niger,2019-04-16,-0.023008352
Nigeria,2019-04-16,-0.5347143
North Korea,2019-04-16,-1.6710972
North Macedonia,2019-04-16,-1.56419
Northern Cyprus,2019-04-16,1.0255601
Norway,2019-04-16,0.33670995
Oman,2019-04-16,-0.5906896
Pakistan,2019-04-16,1.2421991
Palestine,2019-04-16,0.9864387
Panama,2019-04-16,-0.4588743
Papua New Guinea,2019-04-16,0.15693828
Paraguay,2019-04-16,1.3169261
Peru,2019-04-16,0.017697928
Philippines,2019-04-16,-0.8868007
Poland,2019-04-16,-1.9434049
Portugal,2019-04-16,-1.4207039
Puerto Rico,2019-04-16,-0.39084005
Qatar,2019-04-16,1.8541485
Republic of Serbia,2019-04-16,-1.5906447
Republic of the Congo,2019-04-16,-0.21439411
Romania,2019-04-16,-1.4494097
Russia,2019-04-16,-0.1459789
Rwanda,2019-04-16,-2.9745266
Saint Vincent and the Grenadines,2019-04-16,-1.3446182
Samoa,2019-04-16,1.0136188
Saudi Arabia,2019-04-16,0.25792086
Senegal,2019-04-16,0.09004161
Siachen Glacier,2019-04-16,0.33459347
Sierra Leone,2019-04-16,0.008615388
Slovakia,2019-04-16,-1.7881604
