iso3,year,gdp_pc,pop,urban,unemp,political_stability
ETH,2020,6.719869165346455,18.593941971307704,21.695,2.917,-1.753702998161316
ETH,2021,6.808280916169575,18.6206669251881,22.174,3.994,-2.183831214904785
ETH,2022,6.814485691534289,18.646893875281712,22.661,3.935,-2.070606231689453
EUU,2019,10.492784061678416,19.917868803650276,74.74058429860222,7.255923594757345,
EUU,2020,10.473750582109515,19.917780428574456,74.97598721599181,6.688575563759243,
EUU,2021,10.454448947842783,19.916339151395537,75.22018074965945,7.053502103390319,
EUU,2022,10.576798440234468,19.919641524254452,75.46205747041418,7.014184537212598,
FCS,2019,7.511102057277532,20.69776762192052,43.26807795438008,5.829739634418265,
FCS,2020,7.548825806919299,20.719951591898667,43.63942299662673,5.879107366492206,
FCS,2021,7.432434639593091,20.741786345620838,44.04210709140778,6.651807556432632,
FCS,2022,7.475251870888949,20.760713943421898,44.40164649530698,6.777619440754944,
FIN,2019,10.812839259033648,15.524179317966839,85.446,7.361,0.8352588415145874
FIN,2020,10.78639068568719,15.525615729938966,85.517,6.695,0.9818251132965088
FIN,2021,10.796073220102288,15.52768861588304,85.596,7.759,0.9632759690284729
FIN,2022,10.879915919715371,15.530408061148101,85.681,7.617,0.8948301076889038
FJI,2019,8.713650991514301,13.726568955651398,56.75,4.335,0.7793349027633667
FJI,2020,8.691285760887101,13.726638906281584,57.247,4.373,0.662797212600708
FJI,2021,8.48558306859284,13.728547543441525,57.74,4.649,0.7251068949699402
FJI,2022,8.454502783213977,13.731500490717098,58.229,4.701,0.748508632183075
FRA,2019,10.631475112939684,18.025889383186374,80.709,9.018,0.2713412344455719
FRA,2020,10.606790113654695,18.02913496099673,80.975,8.415,0.2809928357601166
FRA,2021,10.575662867809294,18.03270398432062,81.242,8.009,0.3256123661994934
FRA,2022,10.685677585810422,18.035973909306268,81.509,7.874,0.39333921670913696
FRO,2019,11.043345599549108,10.855010283980864,42.225,,
FRO,2020,11.051954035438742,10.869843825417005,42.398,,
FRO,2021,11.038766372279998,10.883785414384576,42.583,,
FRO,2022,11.138223296302378,10.895386559118505,42.779,,
FSM,2019,8.179364368086379,11.610796000627982,22.812,,1.0327569246292114
FSM,2020,8.181065466634227,11.616528437052779,22.933,,1.1154639720916748
FSM,2021,8.120299621912084,11.622891359572042,23.068,,1.1979371309280396
FSM,2022,8.16286508085204,11.627271489754751,23.217,,1.2092188596725464
GAB,2019,8.939092845953938,14.634279305797504,89.741,20.439,-0.07509861886501312
GAB,2020,8.91478453560632,14.658171541778874,90.092,20.358,-0.06577281653881073
GAB,2021,8.795703853885234,14.681232785358784,90.423,21.27,-0.07571732252836227
GAB,2022,9.009619681428562,14.703709175484162,90.735,21.218,0.060369402170181274
GBR,2019,10.676265527871257,18.014680492680636,83.652,4.12,0.5266942977905273
GBR,2020,10.664153237750876,18.016374963564047,83.903,3.613,0.48305025696754456
GBR,2021,10.606704022811352,18.019964342866405,84.152,4.472,0.4899941384792328
GBR,2022,10.756337309785033,18.029177710860257,84.398,4.826,0.533176064491272
GEO,2019,8.477215549505885,15.129277504882689,59.039,12.667,-0.49817195534706116
GEO,2020,8.464063110450166,15.129964067377369,59.453,11.565,-0.42961063981056213
GEO,2021,8.366569587151373,15.126167701307097,59.872,11.73,-0.42962023615837097
GEO,2022,8.533776319101593,15.127216600813485,60.297,11.791,-0.43653005361557007
GHA,2019,7.694083856988852,17.25781613318783,56.707,3.253,0.1185268685221672
GHA,2020,7.690129733579403,17.277734331702774,57.349,3.16,0.16990190744400024
GHA,2021,7.694144509785386,17.297324790140724,57.985,3.313,0.06585245579481125
GHA,2022,7.801876728359405,17.31652769357514,58.615,3.384,-0.1950247883796692
GIB,2019,,10.47711894709451,100.0,,
GIB,2020,,10.496068263171036,100.0,,
GIB,2021,,10.514827970391982,100.0,,
GIB,2022,,10.534998662437673,100.0,,
GIN,2019,6.8386984221985685,16.383098431478853,36.5,4.787,-0.8426061272621155
GIN,2020,6.9386156268623775,16.408612426839245,36.875,5.018,-0.669285237789154
GIN,2021,6.960026023625443,16.43367346878157,37.264,6.018,-0.9399098753929138
GIN,2022,7.126863101510253,16.45849850969611,37.668,5.827,-0.8386821150779724
GMB,2019,6.545665425074071,14.714388157424118,61.931,4.127,0.214491605758667
GMB,2020,6.604196844061903,14.738074770344546,62.582,4.538,0.2480354756116867
GMB,2021,6.579716580587308,14.761752248186424,63.222,5.892,0.03533079847693443
